tempo,playlist_genre,track_artist,track_id,track_name,track_popularity
71.632,wellness,Zion Llama,1eWEJ1JVoyt0nozyAoUPZW,Restfulness,60
71.7,ambient,Misha Burton,6kL9qu9SsGGp8DUIT52j3n,Rosy,44
71.766,ambient,Cosmic Nuit,1OVUdRhh2HebvcNyzOYNwO,Yoga,44
71.775,classical,"Ēriks Ešenvalds, Stephen Layton, The Choir Of Trinity College, Cambridge",0OH2nRfMpPOioibGdTVEii,Only in Sleep,31
71.827,classical,"Erik Satie, Alena Cherny",5fdp9rXfEixCGLM1Og4EN1,Gnossienne No. 1,62
71.841,metal,Deftones,1158ckiB5S4cpsdYHDB9IF,My Own Summer (Shove It),77
71.855,ambient,Lorde,193Dm5SqYy3hTSbuzxbwKc,Writer In The Dark,61
71.912,ambient,Joseff Shields,7EM9OzuJlYg9aKTpBHiocx,Doldrums,53
71.939,ambient,Ganlas,2dSnb7M0ghAJjFlOw5gWcs,Rossø,64
71.942,blues,Skip James,5brvNozAyBy3n8fEDY9f6U,Washington D.C. Hospital Center Blues,21
71.95,jazz,Mendeville,4qm6QmmBVo6mRJhskTubLk,Ripples Of Autumn,47
71.976,lofi,"Kudasaibeats, Biskwiq",4IGgG3xT8XL64Mf2P69F9d,The Girl I Haven't Met (Biskwiq Flip),42
72.004,wellness,Anis Flashbacks,3O7hQIsAayZMcQk8huRP8R,Soundscape lord,45
72.023,pop,Duncan Laurence,1Xi84slp6FryDSCbzq4UCD,Arcade,73
72.04,wellness,A.Z. Louna,2G60IUm1SMnoLHN6kgaZNo,Nejma,33
72.162,gaming,Jeremy Soule,18CctEeOpjEDIAvWM5S7RE,The Streets of Whiterun,59
72.199,world,Hideo Osaka Ensemble,4QgTMG5M3lkrMnLXyNqhpy,Samurai Song,30
72.295,wellness,Admira Mara,6MJP8z8GbPYyS69TvlrEL8,Ephemara,52
72.346,electronic,George Ian Hewitt,4yq6uDtC2FKIivqwlAWUb9,Latitude,12
72.358,wellness,Lavinium,3qBOyYcWluNCMHJU7uO3xi,Hora Somni,66
72.38,ambient,Billie Eilish,5XsAal7ZcWg1I5T4NcRjkv,Halley's Comet,75
72.397,gospel,"EmmaOMG, The OhEmGee Choir, Pelumi Deborah, BBO",6CyvOdf4V0PM8mU3ktVzsh,E Ti Tobi to (Live),51
72.494,hip-hop,Josman,7ujxY1bqVRvMe1sR5iFmxt,Ailleurs,62
72.517,blues,Westlife,1pDylAt4nUPy2r72KRQDYX,Flying Without Wings,61
72.674,classical,William Basinski,243SYVzBHECQf3paZxeHGd,Melancholia II,39
72.675,wellness,Quiet Point,2ITqkX40AUFSv8TIBWoCQt,Whispering Tides,41
72.74,brazilian,"MC Teuzin PV, MC Skcot",7lG1hPJSoCm9Z8Yu4B4H25,Faz Striptease (Versão Tik Tok),58
72.786,wellness,Silent Motions,6uSzJ1maVPTAkGS9YdLIQy,Aspiration,46
72.795,pop,Bruno Mars,0nJW01T7XtvILxQgC5J7Wh,When I Was Your Man,87
72.808,classical,"Eric Whitacre, Eric Whitacre Singers",1ZqzUiCQICQmjtpbFZYwnt,Whitacre: The Seal Lullaby,44
72.949,ambient,Tekno,3ddd0nUY2jZtPYzg0r0wTb,Pana,52
72.993,hip-hop,Kodak Black,1Y5Jvi3eLi4Chwqch9GMem,Super Gremlin,66
72.996,lofi,Nitta' Gritta',2J4JxUvNa8zqP6N5BUitlt,fastback ride,48
73.003,electronic,Charlie Ryder,5sM3sfrkHJVgxhiOOiic1v,Sense of Perception,15
73.055,ambient,Evolutionists,6aBfyMJWmr1N2hjARg8Bp4,Rapids,44
73.109,wellness,Waneesa,6hdh7SrQIAckKv5hvGSI3L,Pembebasan,53
73.135,classical,"jung jaeil, VOCES8",12XJf2wZXhYjOdsEGMZ90n,Psalm 22.21,30
73.187,wellness,Aidin,5AE2Q5ecdUUPxjNbIknTNW,Huzurlu,55
