tempo,playlist_genre,track_artist,track_id,track_name,track_popularity
136.576,rock,Elton John,3gdewACMIVMEWVbyb8O9sY,"Rocket Man (I Think It's Going To Be A Long, Long Time)",79
203.006,rock,Nirvana,11LmqTE2naFULdEP94AUBa,Heart-Shaped Box,79
109.535,rock,Eagles,6gXrEUzibufX9xYPk3HD5p,Life in the Fast Lane - 2013 Remaster,68
92.718,rock,TOTO,2374M0fQpWi3dLnB54qaLX,Africa,83
141.466,rock,Blue Öyster Cult,5QTxFnGygVM4jFQiBovmRo,(Don't Fear) The Reaper,75
126.879,rock,The Smashing Pumpkins,5QLHGv0DfpeXLNFo7SFEy1,1979 - Remastered 2012,77
127.163,rock,Pink Floyd,5HNCy40Ni5BZJFw1TKzRsC,Comfortably Numb,71
81.394,rock,Led Zeppelin,3qT4bUD1MaWpGrTwcvguhb,Black Dog - Remaster,69
170.411,rock,Queens of the Stone Age,6y20BV5L33R8YXM0YuI38N,No One Knows,69
117.399,rock,The Doobie Brothers,4nXkbcTj3nyww1cHkw5RAP,Long Train Runnin',69
85.387,rock,Beck,5PntSbMHC1ud6Vvl8x56qd,Loser,69
138.453,rock,Don McLean,1fDsrQ23eTAVFElUMaf38X,American Pie,74
134.114,rock,The Police,3EYOJ48Et32uATr9ZmLnAo,Roxanne,77
147.245,rock,The Knack,1HOMkjp0nHMaTnfAkslCQj,My Sharona,69
104.522,rock,Lou Reed,5p3JunprHCxClJjOmcLV8G,Walk On the Wild Side,74
80.823,rock,Thin Lizzy,43DeSV93pJPT4lCZaWZ6b1,The Boys Are Back In Town,70
115.728,rock,AC/DC,2zYzyRzz6pRmhPzyfMEC8s,Highway to Hell,84
124.936,rock,Billy Joel,4U45aEWtQhrm8A5mxPaFZ7,Vienna,79
75.009,rock,Pearl Jam,1L94M3KIu7QluZe63g64rv,Alive,73
103.867,rock,Tina Turner,6pPWRBubXOBAHnjl5ZIujB,The Best,69
91.577,rock,Red Hot Chili Peppers,0uppYCG86ajpV2hSR3dJJ0,Give It Away,72
94.605,rock,Green Day,6ORqU0bHbVCRjXm9AjyHyZ,Good Riddance (Time of Your Life),79
176.941,rock,Don Henley,4gvea7UlDkAvsJBPZAd4oB,The Boys Of Summer,73
89.839,rock,The Doors,6ToM0uwxtPKo9CMpbPGYvM,Break on Through (To the Other Side),72
168.131,rock,Beastie Boys,0Puj4YlTm6xNzDDADXHMI9,Sabotage,71
