tempo,genre,track_artist,track_id,track_name,track_popularity
69.8,ambient,n.i.g.h.t,7geKBGxxwkJI9AKgEFXvXJ,A Place For The Mind,53
69.9,wellness,Benjin Blund,7L1ExUYs6SqaCu5o4G8umc,Cycle of Emotions,47
69.9,ambient,different spaces,5jiRq2Z5eEZUvCn32XDExZ,Expectations,48
69.9,electronic,Alfonso Peduto,0sCt59oICqnXl3S2a6THtR,The Distance Between Us III,14
69.9,lofi,Juliette,0LJeA9BFfwRfsOTxzhWzCF,Memories & Notes,48
70.0,lofi,Lime Nyorobon,6yMtuNltStGSJyv6LLytcE,Let's Puddle,49
70.0,gospel,Ibquake,5NOMpIrAo3xQuNbSbebSV0,Today,33
70.0,lofi,Sihu,40frhLpVMThTogyowcdNtb,Hazy,61
70.0,lofi,Dino P,0Yr84Z0J8XdIFgef0Gm4wC,Days before,52
70.0,latin,FLORIAN,5cQYgeDRWXclW31bJ3yRTp,Lejos de Mi,12
70.0,lofi,Otaku,2HYPqSwitksTpCFzYmP7Po,Blue Bird (Naruto),48
70.0,lofi,Alek Faith,3XxZiDTQflprBVjBFxM8P9,Friday Dazed,52
70.0,lofi,Shierro,7saan3wT8athjtK1LxUfth,Flames to Dust,44
70.0,latin,Ana Tijoux,322LgcUL3uhHbpUQP57WUF,Shock,41
70.0,lofi,Worn Tape,1YHe10629RcHU4qusWR9b1,Ham On Rye,48
70.1,ambient,"Olamide, Bnxn",7j2XUgQz7PLCUPzUStwOJf,Come Alive,42
70.1,arabic,"Olamide, Bnxn",7j2XUgQz7PLCUPzUStwOJf,Come Alive,42
70.1,lofi,chill.farm,1AqN43ZIZzz74aAtnsovZ1,Lost Without You,48
70.1,cantopop,Andy Lau,62cPxmMPoes9xiLqPNRn0C,可不可以,22
70.2,wellness,Modular 53,4x6vhZrC3BNxMtYYb0xa7z,Meteor 5,47
70.3,electronic,Jakob Ahlbom,6dnfoFN9ifNOR7AJKlL1VU,Relent,16
70.5,ambient,Lana Del Rey,3lG6OtGDsYAOALxEmubQQm,Happiness is a butterfly,73
70.5,ambient,Astred,1Q2nWimBEhOpUsl4u8Bumw,Creation,28
70.6,electronic,Stromae,2AMysGXOe0zzZJMtH3Nizb,Formidable,70
70.7,electronic,Sarah Watson,2gKdEkvc4AJarxH6KRm4U8,Chapter Three,39
70.7,ambient,Sounding Cosmos,4380dhBofsUcbAwa2UqBMc,Breaking Silence,52
70.8,classical,"Eleanor Daley, The Chapel Choir of Pembroke College, Cambridge, The Pembroke College Girls’ Choir, Anna Lapwood",7aqgHJkQeVLId28hLNuHIN,Upon Your Heart,33
70.8,electronic,Anneline Hugo,7m11ZzNMFpQa7OM7Zg49UO,New Mercies,14
71.0,country,Jess Sharon,44XTUEb5jMvHL1XFdYLFo3,Crazy,35
71.0,lofi,Zonyo,4WuNnBS0bhE9WuXky2VBCl,fliff,50
71.0,lofi,Collinsworthy,1SadNNfKugUYlaXTZO9g7c,camping trip,50
71.1,pop,Faye Webster,2VYnlKxB8jpbCeLUjQsebc,In A Good Way,71
71.3,wellness,Elijah Edwards,4rBXXAmg7w41IN64wvBcvM,Imaginations,49
71.4,ambient,Quiet Tones,2RE57iFY7fJ4xLoTx7V2rC,Radiance,44
71.5,classical,"Arvo Pärt, Vladimir Spivakov, Sergej Bezrodny",4wudbbceOZKjRlhTtbHvAs,Spiegel im Spiegel - Version for Violin and Piano,47
71.5,ambient,Mellow Line,5X5nxaIGTBD83D93pqAjcr,Mahabharata,52
71.6,wellness,Dhanura,2TCrbllNiGHJFJU5Bgua4V,Earthly,48
71.6,ambient,Matheo Lyon,15TwhLj4nBzXJ6LNkkMrF2,Foundation,61
71.6,wellness,Zion Llama,1eWEJ1JVoyt0nozyAoUPZW,Restfulness,60
71.7,ambient,Misha Burton,6kL9qu9SsGGp8DUIT52j3n,Rosy,44
71.8,ambient,Cosmic Nuit,1OVUdRhh2HebvcNyzOYNwO,Yoga,44
71.8,classical,"Ēriks Ešenvalds, Stephen Layton, The Choir Of Trinity College, Cambridge",0OH2nRfMpPOioibGdTVEii,Only in Sleep,31
71.8,classical,"Erik Satie, Alena Cherny",5fdp9rXfEixCGLM1Og4EN1,Gnossienne No. 1,62
71.8,metal,Deftones,1158ckiB5S4cpsdYHDB9IF,My Own Summer (Shove It),77
71.9,ambient,Lorde,193Dm5SqYy3hTSbuzxbwKc,Writer In The Dark,61
71.9,ambient,Joseff Shields,7EM9OzuJlYg9aKTpBHiocx,Doldrums,53
71.9,ambient,Ganlas,2dSnb7M0ghAJjFlOw5gWcs,Rossø,64
71.9,blues,Skip James,5brvNozAyBy3n8fEDY9f6U,Washington D.C. Hospital Center Blues,21
72.0,jazz,Mendeville,4qm6QmmBVo6mRJhskTubLk,Ripples Of Autumn,47
72.0,lofi,"Kudasaibeats, Biskwiq",4IGgG3xT8XL64Mf2P69F9d,The Girl I Haven't Met (Biskwiq Flip),42
72.0,wellness,Anis Flashbacks,3O7hQIsAayZMcQk8huRP8R,Soundscape lord,45
72.0,pop,Duncan Laurence,1Xi84slp6FryDSCbzq4UCD,Arcade,73
72.0,wellness,A.Z. Louna,2G60IUm1SMnoLHN6kgaZNo,Nejma,33
72.2,gaming,Jeremy Soule,18CctEeOpjEDIAvWM5S7RE,The Streets of Whiterun,59
72.2,world,Hideo Osaka Ensemble,4QgTMG5M3lkrMnLXyNqhpy,Samurai Song,30
72.3,wellness,Admira Mara,6MJP8z8GbPYyS69TvlrEL8,Ephemara,52
72.3,electronic,George Ian Hewitt,4yq6uDtC2FKIivqwlAWUb9,Latitude,12
72.4,wellness,Lavinium,3qBOyYcWluNCMHJU7uO3xi,Hora Somni,66
72.4,ambient,Billie Eilish,5XsAal7ZcWg1I5T4NcRjkv,Halley's Comet,75
72.4,gospel,"EmmaOMG, The OhEmGee Choir, Pelumi Deborah, BBO",6CyvOdf4V0PM8mU3ktVzsh,E Ti Tobi to (Live),51
72.5,hip-hop,Josman,7ujxY1bqVRvMe1sR5iFmxt,Ailleurs,62
72.5,blues,Westlife,1pDylAt4nUPy2r72KRQDYX,Flying Without Wings,61
72.7,classical,William Basinski,243SYVzBHECQf3paZxeHGd,Melancholia II,39
72.7,wellness,Quiet Point,2ITqkX40AUFSv8TIBWoCQt,Whispering Tides,41
72.7,brazilian,"MC Teuzin PV, MC Skcot",7lG1hPJSoCm9Z8Yu4B4H25,Faz Striptease (Versão Tik Tok),58
72.8,wellness,Silent Motions,6uSzJ1maVPTAkGS9YdLIQy,Aspiration,46
72.8,pop,Bruno Mars,0nJW01T7XtvILxQgC5J7Wh,When I Was Your Man,87
72.8,classical,"Eric Whitacre, Eric Whitacre Singers",1ZqzUiCQICQmjtpbFZYwnt,Whitacre: The Seal Lullaby,44
72.9,ambient,Tekno,3ddd0nUY2jZtPYzg0r0wTb,Pana,52
73.0,hip-hop,Kodak Black,1Y5Jvi3eLi4Chwqch9GMem,Super Gremlin,66
73.0,lofi,Nitta' Gritta',2J4JxUvNa8zqP6N5BUitlt,fastback ride,48
73.0,electronic,Charlie Ryder,5sM3sfrkHJVgxhiOOiic1v,Sense of Perception,15
73.1,ambient,Evolutionists,6aBfyMJWmr1N2hjARg8Bp4,Rapids,44
73.1,wellness,Waneesa,6hdh7SrQIAckKv5hvGSI3L,Pembebasan,53
73.1,classical,"jung jaeil, VOCES8",12XJf2wZXhYjOdsEGMZ90n,Psalm 22.21,30
73.2,wellness,Aidin,5AE2Q5ecdUUPxjNbIknTNW,Huzurlu,55
73.3,r&b,SZA,6gU9OKjOE7ghfEd55oRO57,The Weekend,73
