playlist_genre,track_name,track_artist,track_popularity,analysis_url
rock,Vienna,Billy Joel,79,https://api.spotify.com/v1/audio-analysis/4U45aEWtQhrm8A5mxPaFZ7
rock,Alive,Pearl Jam,73,https://api.spotify.com/v1/audio-analysis/1L94M3KIu7QluZe63g64rv
rock,Give It Away,Red Hot Chili Peppers,72,https://api.spotify.com/v1/audio-analysis/0uppYCG86ajpV2hSR3dJJ0
rock,Good Riddance (Time of Your Life),Green Day,79,https://api.spotify.com/v1/audio-analysis/6ORqU0bHbVCRjXm9AjyHyZ
rock,The Boys Of Summer,Don Henley,73,https://api.spotify.com/v1/audio-analysis/4gvea7UlDkAvsJBPZAd4oB
rock,Break on Through (To the Other Side),The Doors,72,https://api.spotify.com/v1/audio-analysis/6ToM0uwxtPKo9CMpbPGYvM
rock,Sabotage,Beastie Boys,71,https://api.spotify.com/v1/audio-analysis/0Puj4YlTm6xNzDDADXHMI9
rock,Pour Some Sugar On Me - Remastered 2017,Def Leppard,72,https://api.spotify.com/v1/audio-analysis/0PdM2a6oIjqepoEfcJo0RO
rock,Learn to Fly,Foo Fighters,73,https://api.spotify.com/v1/audio-analysis/5OQsiBsky2k2kDKy2bX2eT
rock,Hit Me With Your Best Shot,Pat Benatar,70,https://api.spotify.com/v1/audio-analysis/0vOkmmJEtjuFZDzrQSFzEE
rock,Bullet With Butterfly Wings - Remastered 2012,The Smashing Pumpkins,73,https://api.spotify.com/v1/audio-analysis/6GtX0jaNL8IjVQfrDBx81z
rock,Interstate Love Song - 2019 Remaster,Stone Temple Pilots,72,https://api.spotify.com/v1/audio-analysis/6qLEOZvf5gI7kWE63JE7p3
rock,London Calling - Remastered,The Clash,70,https://api.spotify.com/v1/audio-analysis/5jzma6gCzYtKB1DbEwFZKH
rock,Wish You Were Here,Pink Floyd,75,https://api.spotify.com/v1/audio-analysis/6mFkJmJqdDVQ1REhVfGgd1
rock,Free Fallin',Tom Petty,75,https://api.spotify.com/v1/audio-analysis/5tVA6TkbaAH9QMITTQRrNv
rock,No Rain,Blind Melon,73,https://api.spotify.com/v1/audio-analysis/6txWz9UapYHVxEd7dDIHXT
rock,Panama - 2015 Remaster,Van Halen,72,https://api.spotify.com/v1/audio-analysis/05RgAMGypEvqhNs5hPCbMS
rock,Would? (2022 Remaster),Alice In Chains,72,https://api.spotify.com/v1/audio-analysis/5sFDReWLrZHLFZFjHsjUTS
rock,Born to Run,Bruce Springsteen,70,https://api.spotify.com/v1/audio-analysis/6hTcuIQa0sxrrByu9wTD7s
hip-hop,"Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)","Tyler, The Creator, GloRilla, Sexyy Red, Lil Wayne",88,https://api.spotify.com/v1/audio-analysis/3tFed7YsjGnIfxeLEQwx3R
hip-hop,HIM ALL ALONG,Gunna,76,https://api.spotify.com/v1/audio-analysis/2EKL77lwxvo615Ga7VjEUl
hip-hop,Leave Me Alone,BigXthaPlug,71,https://api.spotify.com/v1/audio-analysis/4CkbpelT92r4dVkceDX9g1
hip-hop,PLUTOSKI,Future,73,https://api.spotify.com/v1/audio-analysis/2t4H61OtTYgmDe61KxkjKH
hip-hop,Timeless (with Playboi Carti),"The Weeknd, Playboi Carti",92,https://api.spotify.com/v1/audio-analysis/1Es7AUAhQvapIcoh3qMKDL
hip-hop,WHATCHU KNO ABOUT ME (feat. Sexyy Red),"GloRilla, Sexyy Red",78,https://api.spotify.com/v1/audio-analysis/5xeSd4HgzrYpNLEf3LfYLK
hip-hop,Insecurities,Lil Baby,70,https://api.spotify.com/v1/audio-analysis/6afQ4fJDJ9QqU5BKIH99Ej
hip-hop,Gang Baby,NLE Choppa,72,https://api.spotify.com/v1/audio-analysis/76Ku9OBFK1NjMylR8r4WLK
hip-hop,NEW DROP,Don Toliver,85,https://api.spotify.com/v1/audio-analysis/2c7z5oRcPBbqRaBY2mLWcf
hip-hop,Help Me,Real Boston Richey,73,https://api.spotify.com/v1/audio-analysis/487JCvAXVblflZyDJn3fSp
hip-hop,No Face,Drake,78,https://api.spotify.com/v1/audio-analysis/1560osUcXrnov6yuOjXvc1
hip-hop,LIL DEMON,Future,77,https://api.spotify.com/v1/audio-analysis/3aCPResPDNae3pXTocGpYe
hip-hop,Sorry Not Sorry,"Lil Yachty, Veeze",70,https://api.spotify.com/v1/audio-analysis/4lwfqyQXSDJ7kELpMErMih
hip-hop,ALL RED,Playboi Carti,81,https://api.spotify.com/v1/audio-analysis/2cZOYofOX4d6g0OXxkaIjA
hip-hop,I CAN’T LET GO,"Lil Tecca, Don Toliver",73,https://api.spotify.com/v1/audio-analysis/1Ftb0PK0Qqwax3gofiMd2X
